20.416-0.04201i,-20.416-0.04201i,19.02-0.033125i,-19.02-0.033125i,17.384-0.012874i,16.788-0.05929i,-17.384-0.012874i,-16.788-0.05929i,15.669-0.037855i,14.746-0.097114i,-15.669-0.037855i,-14.746-0.097114i,13.082-0.0077369i,12.233-0.0664i,11.464-0.13796i,-13.082-0.0077369i,-12.233-0.0664i,-11.464-0.13796i,9.9132-0.098586i,-9.9132-0.098586i,8.2559-0.014531i,7.6337-0.023011i,-8.2559-0.014531i,-7.6337-0.023011i,6.764-0.042109i,6.122-0.010908i,4.8413-0.09714i,4.1786-0.06146i,-6.764-0.042109i,-6.122-0.010908i,-4.8413-0.09714i,-4.1786-0.06146i,2.9358-0.068468i,-2.9358-0.068468i,1.6422-0.075574i,-1.6422-0.075574i,0.94695-0.026023i,-0.94695-0.026023i,-1.3692e-15-0.20205i,4.0965e-16-0.038265i
20.309-0.041991i,-20.309-0.041991i,18.916-0.033048i,-18.916-0.033048i,17.29-0.013487i,16.718-0.058986i,-17.29-0.013487i,-16.718-0.058986i,15.594-0.037036i,14.661-0.097348i,-15.594-0.037036i,-14.661-0.097348i,13.011-0.0076211i,12.166-0.067533i,11.419-0.13787i,-13.011-0.0076211i,-12.166-0.067533i,-11.419-0.13787i,9.8383-0.097167i,-9.8383-0.097167i,8.2002-0.014527i,7.598-0.02411i,-8.2002-0.014527i,-7.598-0.02411i,6.7482-0.042542i,6.0915-0.010196i,4.8208-0.096109i,4.1527-0.061486i,-6.7482-0.042542i,-6.0915-0.010196i,-4.8208-0.096109i,-4.1527-0.061486i,2.9322-0.069264i,-2.9322-0.069264i,1.6509-0.074142i,-1.6509-0.074142i,0.92469-0.025091i,-0.92469-0.025091i,1.7162e-15-0.20652i,-7.2314e-16-0.039039i
20.204-0.041964i,-20.204-0.041964i,18.813-0.03298i,-18.813-0.03298i,17.197-0.014178i,16.649-0.058603i,-17.197-0.014178i,-16.649-0.058603i,15.518-0.03625i,14.577-0.097545i,-15.518-0.03625i,-14.577-0.097545i,12.94-0.0075048i,12.1-0.068804i,11.373-0.13761i,-12.94-0.0075048i,-12.1-0.068804i,-11.373-0.13761i,9.7642-0.095693i,-9.7642-0.095693i,8.1446-0.014554i,7.5632-0.025315i,6.7325-0.042835i,6.0607-0.0095566i,-8.1446-0.014554i,-7.5632-0.025315i,4.8004-0.095176i,4.127-0.061435i,-6.7325-0.042835i,-6.0607-0.0095566i,-4.8004-0.095176i,-4.127-0.061435i,2.9291-0.07006i,-2.9291-0.07006i,-1.6604-0.072574i,1.6604-0.072574i,-0.90229-0.024298i,0.90229-0.024298i,-1.1478e-15-0.21089i,2.042e-15-0.039895i
-20.099-0.041927i,20.099-0.041927i,-18.711-0.032923i,18.711-0.032923i,-17.106-0.014957i,-16.58-0.05813i,17.106-0.014957i,16.58-0.05813i,-15.442-0.035497i,-14.493-0.097707i,15.442-0.035497i,14.493-0.097707i,-12.87-0.0073893i,-12.034-0.070226i,-11.328-0.13719i,12.87-0.0073893i,12.034-0.070226i,11.328-0.13719i,-9.6909-0.094164i,9.6909-0.094164i,-8.0892-0.014611i,-7.5293-0.026632i,-6.7169-0.042987i,-6.0296-0.0089863i,8.0892-0.014611i,7.5293-0.026632i,-4.7802-0.094344i,-4.1013-0.061308i,6.7169-0.042987i,6.0296-0.0089863i,4.7802-0.094344i,4.1013-0.061308i,-2.9265-0.070853i,2.9265-0.070853i,-1.6706-0.070892i,1.6706-0.070892i,-0.8799-0.023626i,0.8799-0.023626i,1.413e-15-0.21514i,-1.1642e-16-0.040833i
-19.995-0.041881i,19.995-0.041881i,-18.609-0.032877i,18.609-0.032877i,-17.017-0.015835i,-16.511-0.057557i,17.017-0.015835i,16.511-0.057557i,-15.366-0.034773i,-14.409-0.097835i,15.366-0.034773i,14.409-0.097835i,-12.801-0.0072761i,-11.968-0.071816i,-11.283-0.13657i,12.801-0.0072761i,11.968-0.071816i,11.283-0.13657i,-9.6184-0.092575i,9.6184-0.092575i,-8.034-0.014699i,-7.4965-0.028065i,-6.7011-0.042999i,-5.9984-0.0084816i,8.034-0.014699i,7.4965-0.028065i,-4.7601-0.093611i,-4.0758-0.061107i,6.7011-0.042999i,5.9984-0.0084816i,4.7601-0.093611i,4.0758-0.061107i,-2.9244-0.071641i,2.9244-0.071641i,-1.6811-0.069116i,1.6811-0.069116i,-0.85767-0.023062i,0.85767-0.023062i,-4.2028e-15-0.21924i,9.3843e-16-0.041863i
19.892-0.041824i,-19.892-0.041824i,18.508-0.032844i,-18.508-0.032844i,16.928-0.016824i,16.442-0.056873i,-16.928-0.016824i,-16.442-0.056873i,15.29-0.034078i,14.326-0.09793i,-15.29-0.034078i,-14.326-0.09793i,12.732-0.0071668i,11.902-0.073589i,11.238-0.13575i,-12.732-0.0071668i,-11.902-0.073589i,-11.238-0.13575i,9.5468-0.090927i,-9.5468-0.090927i,7.9791-0.014819i,7.4647-0.029616i,6.6852-0.042872i,5.9669-0.0080385i,-7.9791-0.014819i,-7.4647-0.029616i,4.7401-0.092981i,4.0504-0.060834i,-6.6852-0.042872i,-5.9669-0.0080385i,-4.7401-0.092981i,-4.0504-0.060834i,2.9228-0.072418i,-2.9228-0.072418i,1.692-0.067262i,-1.692-0.067262i,0.83572-0.022597i,-0.83572-0.022597i,-9.6618e-16-0.22319i,7.4155e-16-0.043i
-19.789-0.041758i,19.789-0.041758i,-18.408-0.032824i,18.408-0.032824i,-16.842-0.017931i,-16.372-0.056069i,16.842-0.017931i,16.372-0.056069i,-15.214-0.033409i,-14.243-0.097992i,15.214-0.033409i,14.243-0.097992i,-12.664-0.0070636i,-11.837-0.075564i,-11.193-0.1347i,12.664-0.0070636i,11.837-0.075564i,11.193-0.1347i,-9.4761-0.089215i,9.4761-0.089215i,-7.9244-0.014969i,-7.4341-0.031286i,-6.669-0.04261i,-5.9353-0.0076531i,-4.7202-0.092452i,-4.0252-0.060494i,7.9244-0.014969i,7.4341-0.031286i,6.669-0.04261i,5.9353-0.0076531i,4.7202-0.092452i,4.0252-0.060494i,-2.9218-0.073181i,2.9218-0.073181i,-1.703-0.065344i,1.703-0.065344i,-0.81417-0.022222i,0.81417-0.022222i,-1.3955e-16-0.22694i,1.074e-15-0.044262i
-19.687-0.04168i,19.687-0.04168i,-18.309-0.032818i,18.309-0.032818i,-16.758-0.019164i,-16.303-0.055139i,16.758-0.019164i,16.303-0.055139i,-15.138-0.032767i,-14.16-0.098024i,15.138-0.032767i,14.16-0.098024i,-12.597-0.0069685i,-11.772-0.077758i,-11.148-0.1334i,12.597-0.0069685i,11.772-0.077758i,11.148-0.1334i,-9.4063-0.087439i,9.4063-0.087439i,-7.87-0.015153i,-7.4046-0.03307i,-6.6525-0.042217i,-5.9034-0.0073214i,7.87-0.015153i,7.4046-0.03307i,6.6525-0.042217i,5.9034-0.0073214i,-4.7004-0.092026i,-4.0001-0.060088i,4.7004-0.092026i,4.0001-0.060088i,-2.9215-0.073925i,2.9215-0.073925i,-1.7141-0.063373i,1.7141-0.063373i,-0.7931-0.021933i,0.7931-0.021933i,5.0352e-16-0.23046i,-2.9892e-17-0.045677i
19.586-0.041591i,-19.586-0.041591i,18.21-0.032827i,-18.21-0.032827i,16.675-0.020524i,16.232-0.05408i,-16.675-0.020524i,-16.232-0.05408i,15.062-0.03215i,14.078-0.098024i,-15.062-0.03215i,-14.078-0.098024i,12.53-0.0068843i,11.707-0.080191i,11.103-0.13184i,-12.53-0.0068843i,-11.707-0.080191i,-11.103-0.13184i,9.3374-0.085597i,-9.3374-0.085597i,7.8159-0.015372i,7.3764-0.034962i,6.6356-0.041703i,5.8715-0.0070395i,-7.8159-0.015372i,-7.3764-0.034962i,-6.6356-0.041703i,-5.8715-0.0070395i,4.6807-0.091702i,3.9751-0.059622i,-4.6807-0.091702i,-3.9751-0.059622i,2.9218-0.074644i,-2.9218-0.074644i,1.7251-0.06136i,-1.7251-0.06136i,0.77263-0.021726i,-0.77263-0.021726i,1.3096e-15-0.23372i,3.8461e-16-0.047271i
19.486-0.041491i,-19.486-0.041491i,18.112-0.032852i,-18.112-0.032852i,16.595-0.022004i,16.161-0.052899i,-16.595-0.022004i,-16.161-0.052899i,14.986-0.031559i,13.996-0.097994i,-14.986-0.031559i,-13.996-0.097994i,12.463-0.0068137i,11.644-0.082878i,11.058-0.12999i,-12.463-0.0068137i,-11.644-0.082878i,-11.058-0.12999i,9.2694-0.083686i,-9.2694-0.083686i,7.7623-0.015634i,7.3493-0.036947i,6.6182-0.041078i,5.8394-0.0068036i,-7.7623-0.015634i,-7.3493-0.036947i,-6.6182-0.041078i,-5.8394-0.0068036i,4.661-0.091481i,3.9504-0.059099i,-4.661-0.091481i,-3.9504-0.059099i,2.9228-0.075331i,-2.9228-0.075331i,1.7359-0.059313i,-1.7359-0.059313i,0.75283-0.021599i,-0.75283-0.021599i,1.0935e-15-0.23668i,-1.3107e-15-0.049074i
-19.387-0.041379i,19.387-0.041379i,-18.015-0.032895i,18.015-0.032895i,-16.517-0.023591i,-16.09-0.051607i,16.517-0.023591i,16.09-0.051607i,-14.91-0.030993i,-13.915-0.097934i,14.91-0.030993i,13.915-0.097934i,-12.397-0.0067601i,-11.581-0.085834i,-11.012-0.12784i,12.397-0.0067601i,11.581-0.085834i,11.012-0.12784i,-9.2024-0.081705i,9.2024-0.081705i,-7.7091-0.015946i,-7.3236-0.039007i,-6.6002-0.040357i,-5.8071-0.0066101i,7.7091-0.015946i,7.3236-0.039007i,6.6002-0.040357i,5.8071-0.0066101i,-4.6414-0.091363i,-3.9258-0.058524i,4.6414-0.091363i,3.9258-0.058524i,-2.9246-0.075978i,2.9246-0.075978i,-1.7465-0.057242i,1.7465-0.057242i,-0.73377-0.02155i,0.73377-0.02155i,1.4339e-15-0.23932i,-9.5598e-16-0.051117i
